Name,Account 1,Account 2,Account 3
SOUNDHOUND AI INC,Investment Accounts,,
Nextera Energy,Investment Accounts,Dividend,
Vanguard,Investment Accounts:Vanguard,,
Superprof,"Household:Health,Fitness,Personal",,
Haaretz,Dues and Subscriptions,,
Myer-AUD,Household:Fun/Meals/Entertainment,"Household:Health,Fitness,Personal",
BANNERMAN ENERGY LTD,Investment Accounts,,
Farha Roofing,Repairs,,
QuickBooks Payments,Dues and Subscriptions,,
Botiquin,"Household:Health,Fitness,Personal",,
Easy Jet,Travel Expense,,
GREEN THUMB INDS INC,Investment Accounts,,
Rebel Top Ryde,"Household:Health,Fitness,Personal",,
AirBnB,Rental Income,RENTS:Rent Income,
Costis Fresh Seafood-Aud,Meals and Entertainment,Meals and Entertainmnent- Aud,
Bonds-AUD,"Household:Health,Fitness,Personal",,
Chemist Warehouse -AUD,"Household:Health,Fitness,Personal",,
AGINIAN RETAIL OPS PTY LTD-AUD,Meals and Entertainment,,
Endota Day Spa The Rocks- AUD,"Household:Health,Fitness,Personal",,
Castlery-AUD,"Household:Health,Fitness,Personal",,
EASTWOOD NATURAL FOOD PTY LTD-AUD,Meals and Entertainment,,
Mini Stop Express Convenience- Aud,Household:Groceries,,
NWS Spirit-AUD,"Household:Health,Fitness,Personal",,
Milano Cadorna-AUD,Travel Expense,,
Jackpocket,Household:Fun/Meals/Entertainment,,
NWFA- AUD,Meals and Entertainment,,
Macchina Eatery- AUD,Meals and Entertainment,,
8Fish Pty Ltd-AUD,Meals and Entertainment,,
Gundaroo Grocer-AUD,Household:Groceries,,
Solanna PTY Ltd-Aud,Household:Groceries,,
Royals Hairdressing- AUD,"Household:Health,Fitness,Personal",,
Pharmasociety PTY LTD-AUD,"Household:Health,Fitness,Personal",,
Prime Quality Meals-AUD,Meals and Entertainment,,
Webster's Gourmet Meat Kitchen-AUD,Household:Groceries,,
Bunnings Carlington - AUD,Office Supplies,,
AIG Insurance,Insurance Expense:Life Insurance,,
Ohbubbles-AUD,"Household:Health,Fitness,Personal",,
Event Cinemas Macquarie-AUD,Household:Fun/Meals/Entertainment,,
NSW -AUD,"Household:Health,Fitness,Personal",,
Cork street cafe-AUD,Meals and Entertainment,,
Winni-AUD,"Household:Health,Fitness,Personal",,
James Lane-AUD,"Household:Health,Fitness,Personal",,
Speedway West,Utilities:Gas,Gas And Fuel - Aud,
Target- Aud,"Household:Health,Fitness,Personal",,
Bonbons Bakery-AUD,Meals and Entertainment,Meals and Entertainmnent- Aud,
The Lebanese Loaf-AUD,Meals and Entertainment,,
Bank Fee,Bank Service Charges,,
BCF,Meals and Entertainment,,
The One That Got Away-AUD,Meals and Entertainment,,
Mint Fresh-AUD,Meals and Entertainment,,
